,text,sentiment
114,Lionel Messi mottok Gullballen prisen for VMs beste spiller etter kampslutt men Argentinas store stjerne rikket ikke på smilebåndet da han gikk opp podiet og mottok prisen fra FIFA president Sepp Blatter,3
115,En som derimot smilte fra øret til øret var Tyskland keeper Manuel Neuer som både kunne innkassere VM gullet og Gullhansken prisen for mesterskapets beste keeper,3
116,Først stoppet keeper Sergio Romero et André Schürrle skudd på mesterlig vis fra fem seks meter,4
117,Den andre omgangen bød ikke på fantastisk angrepsspill fra noen av lagene og det som satte mest støkk i publikum var en stygg episode mellom Gonzalo Higuaín og Manuel Neuer,1
118,Det er livsfarlig spill av Neuer sa fotballekspert Bernt Hulsker i VGs VM studio,0
119,Argentina fikk en vanvittig gratismulighet etter 20 minutter,2
120,Argentina stjernen Lionel Messi flikket ballen elegant ut på høyrekanten til en ledig Ezekiel Lavezzi,3
121,Tyskland fikk to gode muligheter de siste fem minuttene av omgangen først ved Toni Kroos,3
122,Etter 43 minutter fikk Tysklands pasningskonge stå alene å skyte fra rundt 16 meter men skuddet var unormalt svakt til han å være,1
123,Jason Statham har hår og skjegg og han spiller et svett psykologisk actiondrama som gjør at han antakelig blir invitert i selskaper hos pologenserne framover,3
124,Ray Liotta er hypa paranoisk gangstersjef med en sjelelig og kroppslig nakenhet som nok en gang gjør den ugripelige skuespilleren til et ikon en kult ting for folk som samler på pyntegjenstander av isopor og ukrainske boksåpnere,4
125,En sjokkerende vital representant for den demonstrative gangsterfilmen den som kjørte løpet sitt dreit i alt som var nødvendig og ofte endte i et sinnssykt jålete fravær av sannsynligheter,0
126,Samtidig er Revolver et ærgjerrig forsøk på psykologisk liksom drama om egoet og dets blanda blendverk,3
127,Men vi som liker film kan komme til å elske det aldeles forvrengte ved Revolver,4
128,Klipperen har overtatt Seagals martial art og slåssinga er så kjipt og kjapt klippet at filmen antakelig kunne ha inneholdt Titanics undergang uten at du oppdaget det,1
129,Ei finslig dame skal bli med på kjøret og observere oksen i arbeid,3
130,Følelsene og minnene fra den gang iblandet alkohol og utvalgte gode minner sørger for topp stemning,3
131,Med håndholdt kamera i øyenhøyde er det som om vi selv er til stede på gjenforeningsfesten og kjenner alle følelsene rundt de vonde konfrontasjonene som følger,2
132,Konfrontasjonene er oppsiktsvekkende både i form og innhold,2
133,I Gjenforeningen belyses altså temaet mobbing gjennom direkte konfrontasjon mellom mobbeoffer og mobber på en voldsomt effektiv og nifst tankevekkende måte,3
134,Minst like interessant og mesterlig som selve mobbetemaet er håndtert er Anna Odells kunstneriske prosjekt med Gjenforeningen,4
135,Som med Karl Ove Knausgårds Min kamp kan Gjenforeningen være utlevering av virkelige mennesker forkledd som drama,3
136,Skillet mellom virkelighet og fiksjon er uansett sømløst og egentlig ikke så viktig,2
137,Offerets behov for oppgjør gjennom konfrontasjon er det som driver historien framover og får oss til å følge fjetret med,3
138,Selve konfrontasjonen upassende og sosialt uintelligent men samtidig logisk og helt på sin plass er det som får følelsene til å syde og tankene til å kverne,2
139,De voldelige undertoner blir raskt til overtoner i denne visuelle stilfulle thrilleren,2
140,Men nettopp det stilfulle fortrenger effekten av mysteriet i fortellingen,2
141,Sør koreanere Chan wook Park er kjent for surrealistisk og effektfullt billedspråk,3
142,I Stoker bruker han det på en elegant måte for å poengtere hva som rører seg i en ung jentes turbulente kløktige og opprørske sinn og sjel,3
143,Kjapt aner man en onkel med manipulerende egenskaper en mor med tåkelagt frustrasjon og en ungjente med farlige tilbøyeligheter,1
144,Sistnevnte spilles med en overbevisende miks av uggen kjølig distanse og rå energi av Masikowska,3
145,Kidman som moren leker seg med undertoner av sensuell søvnighet og Weaver forfører damene med flørtende eleganse som selvsagt skjuler et bunnløst mørke,3
146,Filmen betar med brå kast av visuell uhygge og vold som korresponderer godt med personenes turbulente sinn,3
147,Regissøren har Hitchcock som en av sine forbilder noe som synliggjøres i fascinasjonen for natur og skråblikk på menneskesinnet,3
148,Men der Hitchcock som oftest gir publikum en nervebitende opplevelse er Chan wook Parks film mer visuell stilfull enn nifs,1
149,Møte på valmueåsen er vakker å se på men historien er i stilleste laget,2
150,Studio Ghibli har fortryllet millioner av barn og voksne med sine håndmalte eventyr vi kan nevne Chihiro og heksene Ponyo og Min nabo Totoro,4
151,Men samtidig er filmen snill naiv og like voldsfri som andre Ghibli filmer,2
152,Kjærlighetshistorien mellom Umi og Shun er muligens vel avansert for femåringer men jeg tror på den annen side at tenåringer vil synes at den er ganske barnslig fortalt,1
153,Som alltid hos Ghibli er håndverket en nytelse men jeg synes ikke 71 år gamle Miyazaki har lykkes helt med overgangen fra barnefilm til tenåringsdrama,3
154,Fjortiser er en krevende gjeng og ønsker ikke å la seg begeistre av det samme som sine småsøsken,2
155,Jeg vil ikke anbefale Møte på valmueåsen som kinodate for 15 åringer men har du en sønn eller datter på ti kan du trygt spandere billetter,2
156,Afro Samurai er et skoleeksempel på å sette stil foran innhold,1
157,Verdens cooleste samurai på hevntokt ninjaer ultravold i sakte film Samuel L Jackson Ron Perlman og tilbakelente hip hop toner fra The RZA,4
158,Selv uten anime serien spillet er basert på ville konseptet ha stått svært godt på egne ben,4
159,Og til en viss grad har Namco lykkes i å lage en kul opplevelse,3
160,Kampsystemet er forutsigbart men visuelt lekkert og variert og både tegnefilmgrafikken og musikken lager en deilig ramme,2
161,Men spillet er så klønete satt sammen at Afro Samurai ikke er i nærheten av å oppnå sitt udiskutable potensiale,0
162,Historien er pælmet inn i spillet på vilkårlig og forvirrende vis kameravinklene og kontrollsystemet er plaget av skurring jeg trodde vi var kvitt for godt for lenge siden og bortsett fra musikken er lydbildet amatørmessig spakt,0
163,Hvilket er skuffende konseptet Afro Samurai fortjener et bedre spill enn dette,1
164,Tar han på seg runde briller og en dongerijakke klarer han til og med å fremstå som en troverdig utgave av John Lennon slik han gjorde på Ricks torsdag kveld,3
165,En solid musikalsk historielekse som med ord toner og litt humor ga et innblikk i livet til Beatles idolet fra 60 og 70 tallet,2
166,Det er det eneste som ville fungert for Tor Endresen men gjør likevel at det ikke alltid stemmer hundre prosent,2
167,For det skal innrømmes at man aldri helt kommer under huden på hovedpersonen,2
168,Da fungerer det atskillig bedre når det første verset på Beatleslåten Girl fremføres med indisk dialekt som en parodi på guruen Maharishi Yogi som Beatlesmedlemmene var opptatt av i en kort periode,2
169,Tor Endresen klarer faktisk til tider å høres ut som Lennon selv med sin spesielle og lett nasale stemme og her skurrer det aldri,3
170,Ikke alle fremføres i sin helhet men riktig bra låter det uten unntak,2
171,Ofte er de ganske tro mot originalen som under Lucy In The Sky With Diamonds,3
172,Men også når de leverer mer frie tolkninger som Working Class Hero blir det hundre prosent riktig,3
173,Til og med det å flette den første Beatles singelen Love Me Do midt inne i en versjon av Lennons Crippled Inside er helt som det skal være,3
174,Bandet bestående av Daniel Birkeland på gitar Kai Taule på bass Dag Øivind Rebnord bak tangentene og trommis Helge Nyheim klarer virkelig å gjenskape både Beatles og Lennon på en måte som det står respekt av,4
175,Som musikalsk forestilling lykkes Lennon hundre prosent,4
176,Som historielekse er den derimot ikke helt uten små svakheter,1
177,Likevel så bra at Tor Endresen allerede nå burde søke skoleverket om få fremført forestillingen som pensum for den oppvoksende generasjon,2
178,Det åpner ikke så aller verst med en renskåret versjon av avdøde Chris Whitleys blues Indian Summer,3
179,Den tydeliggjør samtidig DeGraws store problem at han ikke evner å skrive gode låter selv,0
180,Siden amerikaneren inntok stjernehimmelen i 2003 med hitsinglene Chariot og I Don t Wanna Be har alt annet vært oppkok over samme lest,3
181,DeGraw er en teknisk begavet sanger og instrumentalist men en middelmådig låtskriver som denne gangen leverer under eget pari,3
182,Det hjelper ikke at tekstene bugner over av klisjeer med titler som Stay Lover Be Strong og Waterfall,1
183,Og at man ikke klarer å finne en annen albumtittel enn en av rockehistoriens mest brukte sier det meste om mangelen på kreativitet,0
184,Det føles derfor som et pluss at plata ikke er særlig lang,3
185,De kritiserer Israel menn som skyter ulv og hyller marit Bjørgen,3
186,Bjølsen Valsemølle er bandet som burde nådd toppen men som uheldigvis ble glemt i en skuff ifølge vår anmelder,2
187,Bjølsen Valsemølle er i utgangspunktet et tradisjonelt rockeband og på sitt vis kanskje et av Oslos viktigste band,4
188,De tilhører en prisverdig tradisjon der samfunnsengasjement og politisk stillingtagen er en selvfølge,3
189,Samtidig har de et blikk for hva som rører seg i byen både i nåtid og fortid,3
190,Bandet har aldri glemt hvor de kommer fra og er tro mot sitt opphav,3
191,Stayerevnen til låtskriver og frontmann Trond Ingebretsen og Bjølsen Valsemølle er både imponerende og i,3
192,Ikke nok med at de har holdt det gående i nærmere førti år de klarer også fortsatt å ta pulsen på samtiden hedre historien og fargelegge sitt uttrykk med kledelig avvæpnende nostalgi,3
193,Selv om de musikalsk tilhører en annen tid og kan virke umoderne i noen sine ører er dette et revitalisert og potent band som fortjener større oppmerksomhet,2
194,Bjølsen Valsemølle er et band som burde vært omtalt på lik linje med Sambandet og Hellbillies men som har av ulike grunner forblitt et lokalband fra Oslo,2
195,Til tross for opptil flere strålende plater de siste årene har lite endret seg,4
196,Trond Ingebretsens sanger kan virke provoserende på noen men burde heller mane til ettertanke og refleksjon der han tar opp brennbare saker,2
197,Han gir av egen erfaring og spenner opp et speil vi kan se oss selv i,3
198,Det er her Bjølsen Valsemølle viser sitt mesterlige grep på denne sjangeren,4
199,Trond Ingebretsen er en god historieforteller som har hjertet med seg i fortellingene,3
200,Om de er illsinte politiske betraktninger eller en liten nostalgisk minnestund forblir man ikke uberørt,2
201,Han er spesielt god på de ulike tidsbildene han setter sangene i,4
202,Disse sangene er ikke skrevet i et vakuum men er blitt til i frustrasjon over hvordan vi har stelt oss,3
203,Den mest kontroversielle og brennbare sangen er nok Israel det räcker nu hvor han har fått med seg Michael Wiehe som duettpartner,3
204,En av de fineste øyeblikkene er Ingebretsens ode til Tjuvholmen,4
205,Her har han fått med seg Jon Arne Corell en av frontfigurene i den politiske visebevegelsen på 70 tallet,3
206,Et nydelig lite tidsbilde på byutviklingens merkelige gang,2
207,En annen godbit er Erik Jim Morrison og jeg om et musikalsk møte som viser hva som setter seg i minnet,3
208,Den mest rørende sangen er tittelmelodien som er en sterkt personlig sang skrevet til barnebarnet,4
209,En sang som griper direkte inn i dagens mest aktuelle konflikt,3
210,En hyllest til Marit Bjørgen er det også blitt plass til,3
211,Bjølsen Valsemølle er en finstemt gruppe som gir vitalt liv til låtskriverens mer eller mindre illsinte tekster,3
212,Det kan høres litt gammelmodig i disse tider men som Henning Kvitnes og Trond Granlund treffer de en jordnær nerve som gjør godt,3
213,På åttitallet var The Go Betweens Australias svar på The Smiths og R E M stilmessig og kvalitetsmessig om ikke salgsmessig,3
214,Etter å ha ligget brakk som gruppe hele nittitallet gjorde de et formidabelt kunstnerisk comeback dette tiåret og lagde sin kanskje beste plate Oceans Apart i 2005,3
215,Robert Forster er den gjenlevende halvparten og med sitt første soloalbum på 12 år byr han på sørgmodig akustisk drevet rock helt i tråd med det siste han og McLennan lagde sammen,2
216,Dødsfallet kaster selvsagt skygge over platen noe Forster takler med verdighet og en rak rygg som bærer praktfulle melodier og oppløftende tekster,3
217,Det er en ikke ubetydelig Automatic For The People følelse over The Evangelist,3
218,Forskjellen på den nye R E M platen og denne er forskjellen på rock som underholdende repetisjonsøvelse og rock som vital videreføring av ubesudlet magi,2
219,Lexus er av de store premium aktørene globalt og er på fremmarsj også hos oss,3
220,Ja effekttallet fra Lexus GS 450h ligger svært nær BMW ActiveHybrid 5 og det er ikke tilfeldig,3
221,Bilen vi kjørte denne gangen tåler imidlertid sammenligningen med BMW når det gjelder sistnevnte merkes kjennemerke nummer 1 Kjøreglede,4
222,Der forgjengeren kunne beskrives som elegant men relativt anonym i stilen kjennetegnes nye GS av en mer markant linjeføring med et nesten aggressivt frontparti som røper modellens mer sportslige ambisjoner,3
223,Vi er imidlertid enige med flere av kommentatorene som er litt skuffet over at designerne ser ut som om de hadde mistet noe av inspirasjonen da de kom til hekken denne har etter vår mening et mer anonymt Toyota preg,1
224,Vi anser dagens generasjon GS som faktisk ble vist første gang for over et år siden på bilutstillingen i Frankfurt som harmonisk og sporty i stilen,3
225,Luksusfølelsen er påtagelig som seg hør og bør i en bil med et slikt navn,4
226,Vårt F Sport eksemplar var utstyrt med rødt skinninteriør men man kan selvsagt velge mer diskret dekor om man ønsker det,3
227,For vår del syntes vi det kledde bilen godt og det viktigste er selvsagt hvordan man finner seg til rette i setene og for førerens del bak rattet,4
228,Det bugner av utstyr som gjør livet om bord lettere vel å merke når man har lært seg betjeningen,4
229,Multimedia systemet er utstyrt med en stor og informativ skjerm 12 3 tommer selv om vi ikke finner grafikken like tidsriktig som i en Audi A6 for eksempel,2
230,Betjeningen via en slags musepeker kan være irriterende til tider men viser seg praktisk og gir rask tilgang til relevant informasjon,2
231,For det første er bilen blitt merkbart romsligere enn forgjengeren plassutnyttelsen har kommet seg betraktelig og GS er jo en ganske voksen bil med sine 485 lengdecentimeter BMW 5 489,3
232,Førermiljøet er riktignok designet for å omslutte føreren og dermed er ikke romslighetsfølelsen overdådig foran man føler seg på en måte i ett med bilen hvilket ikke alltid er lett å få til i store biler,2
233,En viss følelse av intimitet hersker altså der fremme men armslaget og klaring over hodet er det ikke noe å si på,4
234,Å finne riktig sittestilling er ikke noe problem takket være 18 veis elektrisk regulerbare seter,3
235,Bakseteplassen er blitt bedre enn før og bagasjerommet er heldigvis også en god del større enn det var på forgjengeren der batteripakken spiste en god del av plassen merkbart mer enn hva tilfellet er her,2
236,Volumet har faktisk økt med 40 prosent og er nå helt akseptabelt med 459 liter,3
237,Det har delvis å gjøre med at Lexus har plassert batteriene på en smartere måte disse tar selvsagt fortsatt noe plass under gulvet bak der,2
238,Denne hybriden kan faktisk trekke tilhenger og det opp til 1 500 kilo,4
239,Men den er oppdatert og kan kalles annen generasjon av systemet som heter Lexus Hybrid Drive,3
240,Forbrenningsmotoren en bensindrevet V6 motor på 3 5 liter fungerer nå i henhold til Atkinsons syklus som blant annet karakteriseres ved at inntaksventilenes åpningstid er forlenget,3
241,Uten å gå i detalj når det gjelder virkemåte konstaterer vi at forbruk og utslipp er gått ned,2
242,Lexus GS 450h kan skilte med et forbruk på 0 59 liter per mil og CO2 utslipp begrenset til 137 gram per kilometer,4
243,For vår del lå vi under alminnelig kjøring på rundt 0 7 liter per mil og heller ikke det er dårlig i en stor tung bil med 343 hestekrefter under panseret,4
244,Elmotoren kan yte opptil 200 hestekrefter og 275 newtonmeter,4
245,Kombinert system effekt er 345 hestekrefter og det oppgis ikke noe samlet dreiemoment men vi opplever at det er mer enn tilfredsstillende og det fra stående start,4
246,Men det er kjapt det også og fartsøkningen er lineær og kraftfull,3
247,Dessverre får man ikke sportsbilfølelsen under denne øvelsen dette henger også sammen med den trinnløse transmisjonen CVT,1
248,Denne CVT løsningen er riktignok smidigere og gir mindre symaskin følelse enn i Toyota hybridene men vi foretrekker ubetinget BMWs løsning med åttetrinns sportsautomat,3
249,Kjøreegenskapene er i fremgang i forhold til forrige GS 450h,3
250,Det betyr ikke at de er direkte sportslige men de er mer dynamiske og presise og sammenligningen med BMW som vi åpnet med er i større grad blitt relevant når vi ser på det totale produktet,2
