Summary,Description,Custom field (Epic Link),Component/s,Component/s
Vise fagdata på historisk vegnett,"Jeg lovet å gi en nærmere beskrivelse av funksjonen i NVDB som gir oss mulighet til å se en vegstrekning med både operativ og historisk vegtrase og tilhørende fagdata.

Under innsyn – hent nytt datasett og spesifisering av HVOR det hentes fra er det mulig å legge inn en vegstrekning med hp og meter fra-til. Dette gjøres under «vegreferanser og gater».

Eksempel på en strekning vi vet er bygget om ser du nedenfor.

!Historisk vegstrekning i NVDB123-1.jpg!

Under HVA som hentes velger vi «trafikkulykke» og setter på et filter på periode.

Eks:

!Historisk vegstrekning i NVDB123-2.png!

Deretter trykker vi på Hent data fra NVDB og huker av for Ta med historisk vegnett og historiske fagdata (gjelder nedlagt/omlagt veg).

!Historisk vegstrekning i NVDB123-3.png!

Resultatet vises i kart på denne måten. Hvis du åpner data-tabellen vil du se at flere av ulykkene har *operativ vegreferanse=FV* og *historisk vegreferanse=EV*. Du vil altså finne eksempler på ulykker som har skjedd på ombygd veg i dette uttrekket.

!Historisk vegstrekning i NVDB123-4.jpg!

Til bruk i filter:

HVOR – 0500 (fylke) Ev6 hp13 m3639 - 0500 Ev6 hp15 m15156 (Ny vegsystemreferanse: EV6 S46D1 m3639 - EV6 S48D1 m15728).

HVA – Trafikkulykke.Ulykkesdato >= 20100101

Med hilsen
 Thea Merete Vesterås
 Mobil: +47 92444288",NVDB-6938,Les-API,
"Deaktivere knapp for lukking for ""Entreprenør""","Entreprenør som logger inn med e-post får valg om å lukke data i NVDB.

!image-2021-04-20-09-58-52-153.png!

Det gir feilmelding å trykke på knappen

!image-2021-04-20-09-58-10-784.png!

Knappen burde deaktiverast likt med innsending til NVDB for Entreprenør",NVDB-6937,Datafangst,
Mulighet for å hente ut NVDB ID fra Datafangst API,"Opprinnelig etterspørsel fra volue.com:

Vi har en kunde som ønsker å få vite nvdbid på de dataene som leveres via datafangst api’et. Jeg vet det er mulig å hente nvdbid via Les api’et, men der er det ingen kobling mot en featurecollection som er levert datafangst.
 Så er det noen som helst måte å få tilbake, enten når en sender inn en featurecollection eller i ettertid når en henter status på en featurecollection, å få vite hvilken nvdbid et objekt får tildelt. – Stig Vidar Hovland",NVDB-6937,Datafangst,
"Import av vegobjekter med ""Nøyaktighet"" lik -1","Ved import av vegobjekter med ""Nøyaktiget"" lik -1, må det endres til blank ("""") så det er mulig å sende inn til NVDB.",NVDB-6937,Datafangst,
Nøyaktighet og Målemetode har ulovlige verdier,"*Målemetode*

Målemetode er satt til verdi 0 som ikke er tillat, dette må enders til verdi 99, som er ukjent målemetode.

*Nøyaktighet*

Fra Datakatalogen skal Nøyaktighet ha verdier mellom 0 og 99999, eller blank.

Det finnes flere innslag av -1 i samtlige miljøer. Bør endres til blank.

Eksempel på feil verdi: [https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/15/240466141/2]

 ",NVDB-6937,Database,
Estimat: Vidareutvikling produktfortefølge,"Det er behov for en rekke større eller mindre forbedringer i portefølgen fremover.

Dette bør vi føre en oversikt over og tilhørende overordnede løsningsforslag og estimater for enkelt å eventuelt samle til ""forbedrings-prosjekter"" som vi kan gjøre avrop på for å få dedikerte ressurser etter prioritet og behov.

Bør kanskje være en Wiki likt med teknisk gjeld?

Eksempel på oppgaver som bør ligge der (enkelte er estimert andre er ikke):
 * Elveg 2.0 (Endringsmelding 2021-1)
 * Import av Datakatalogen (Endringsmelding 2021-2)
 * Import av områdegrenser (Endringsmelding 2021-2)
 * GML-støtte i NVDB (Endringsmelding 2021-3)
 * Sensitive data i Vegkart (innlogging)
 * Historiske (datospesifikke) data i Vegkart
 * Forbedret SOSI i Datafangst
 * Forbedret API i Datafangst
 * Statistikkgenerator (makro) i NVDB
 * Inhousing Datafangst

 ",NVDB-6940,,
Unngå feil fra bean valideringen til Skriv,"Til vanlig så er det forventet at endringssett fra Datafangst blir sendt til Skriv og det blir registrert. Nå i det siste har det oppstått flere problemer med at endringssett ikke kommer inn å blir registrert grunnet validering som skjer ved endepunktet. Dette er en en Bean Validering og vil returnere HTTP-400 med en feilmelding oppsatt ulikt enn hva som er forventet. Et eksempel på den type feilmelding er: 

_""registrer.vegobjekter[6].egenskaper[4].verdier[0].kvalitet.nøyaktighet: Må være større enn eller lik 0""_

Hvor meldingen sier at under *registrer* er det vegobjekt *6* som har egenskap *4* med en verdi som ikke er innenfor det datakatalogen tilsier. I dette tilfellet var det at egenskapen _nøyaktighet_ var *-1*.

 

Problemet har ført til flere supportsaker hvor bruker ikke vet hva som må endres, for Datafangst viser bar Beskrivelse: _Vegobjektene ble avvist fordi det ble funnet feil under validering_

 

Noe som er verd å merke seg er at HTTP-400 med feilmelding blir returnert allerede etter første forekomst. Dette betyr at om en bruker sender inn 100 vegobjekt med samme feilen så blir bare 1 returnert som feil, og den neste blir ikke vist før det blir sendt inn på nytt.

Grunnet dette vil det være mer hensiktsfult at det blir gjennomført en input sjekk i Datafangst *før* det blir sendt til Skriv. Det vil skape mindre frustrasjon hos brukeren. :) 

 

Foreslår derfor å implementere en sjekk for de to forekomstene som har ført til supportsak, og deretter plukke opp andre ""løse tråder"" når det kommer inn supportsak.

 ",NVDB-6938,Datafangst,
Bytte utgående brukere i tester + se på feilende live integrasjonstester,"Mange av integrasjonstestene og e2e tester benytter brukerer som er utgående. De må oppdateres til enten ""fjesløse"" brukere eller benytte brukere til teamet i NVDB.",NVDB-6937,Skriv-API,
Oversikt over teknisk gjeld,"Få en oversikt over teknisk gjeld i prosjektet.

Teknisk gjeld innebærer følgende:
 * Refaktorisering
 * Sårbarheter
 * Utgående avhengigheter
 * Utfasede bibliotek og rammeverk
 * Dokumentasjon
 * Minnelekkasjer
 * Distribusjonsstrategi
 * Overvåking og logging

 
 Dette dokumentet vil ikke inneholde tidsestimering for utredelse men omfanget vil bli kategorisert med tanke på *risiko* og *arbeidsmengde*.
  
 Dokumentet blir lagt til Wiki og saken blir oppdatert med link når dokumentet er ferdig.

 

[NVDB API SKRIV - Teknisk Gjeld - IKT - Forvaltning og videreutvikling - Confluence (vegvesen.no)|https://www.vegvesen.no/wiki/display/FoV/NVDB+API+SKRIV+-+Teknisk+Gjeld]",NVDB-6937,Skriv-API,
Flytte API Les Client,"Fra og med 01.05.2021 så vil ikke JFrog Bintray eksistere. V3 klienten til les ligger der og må derfor flyttes. [https://jfrog.com/blog/into-the-sunset-bintray-jcenter-gocenter-and-chartcenter/] 

 

Alt annet i NVDB ligger i JFrog Artifactory, og vil ikke klienten også kunne legges inn der?

 ",NVDB-6937,Les-API,
"Estimat: historisk og sensitiv data, faglig filter.","Vi må vurdere nye funksjoner i Vegkart og trenger skisse/estimat for utvikling av dette:
 * Historisk data (datospesifik).
 Legge til felt for å skrive inn dato som Vegkart skal vise data i forhold til.
 * Sensitive data.
 Innlogging for å vise sensitive data:
 ** Ved første forsøk på å vise sensitiv data. (fortrinnsvis)
 ** Kopi av Vegkart med innlogging.
 * Faglige filter
 Mulighet for å filtrere basert på andre fagdata. For eksempel vise alle trafikkulykker på veg med fartsgrense 60 eller større.",NVDB-6938,Vegkart,
Feilmelding vises når den ikke skal ved automatisk stedfesting der mor er i NVDB fra før,"Supportsak fra Raymond:
""Her skjedde det en feil igjen med stedfesting selv om de har like koordinater. Om feilen bare var at det hang på objektet som var hentet inn, at det kun måtte hentes inn på nytt, eller om det var Operasjon Korriger som trøblet vet/husker jeg ikke fra sist, men jeg fikk det lagret til NVDB når jeg fjernet den med Korriger fra tabellen og hentet den inn igjen med Oppdater. Dog, når jeg så skulle stedfeste/vegtilknytte den på ny, byttet fra hovedvei til GangSykkelveg(GS-veg) for alle platene og skiltpunktet, så fikk jeg feilen under. Jeg har fått det tidligere også, noen ganger er den reell andre ganger ikke, denne gangen ikke, men fint om den kun kommer opp når stedfestinga faktisk ikke ble flyttet automatisk. Litt småpirk kanskje, men kan bli forvirrende…""
 
!image-2021-03-29-15-06-05-480.png|thumbnail! ",NVDB-6937,Datafangst,
Ny SQL-funksjon for håndtering av vegnummer for privatveger,"Referer til sak: NVDB-6428 for Automatisk populere vegnummer i Vegsystem (915).

Gjennomført møte med [~extt09] og [~trykra] og har vært gjennom ønsket funksjonalitet.

 

I *SKRIV* ønsker vi å gjennomføre et kall til: _nvdb.RoadSystemUtils.getNextFreePrivateRoadnumber( ? )_ hvor følgende parameter er _kommunenummeret_ og den skal returnere et vegnummer som ikke er benyttet.

 

Vegnummer er et tall mellom 0-99999 hvor det starter på 99999 og blir dekrementert. Det er hull i løpenummeret som gjør for eks. at 99920 er ledig men ikke 99917. Må derfor sjekke i kommunen hvilke vegnummer som allerede er benyttet.",NVDB-6937,Database,
Brukertilpasset eksport,"*Fra:* Raymond Krossøy Hermansen <[raymond.hermansen@vtfk.no|mailto:raymond.hermansen@vtfk.no]> 
 *Sendt:* onsdag 24. mars 2021 11:08
 *Til:* Hans Anton Ålien <[hans.alien@vegvesen.no|mailto:hans.alien@vegvesen.no]>
 *Kopi:* Vilhelm Børnes <[vilhelm.bornes@vegvesen.no|mailto:vilhelm.bornes@vegvesen.no]>; Knut Dammen <[knut.dammen@vtfk.no|mailto:knut.dammen@vtfk.no]>; Torbjørn Gjendem <[torbjorn.gjendem@vegvesen.no|mailto:torbjorn.gjendem@vegvesen.no]>
 *Emne:* SV: Vegkart: Kritisk, dette er ikke bra!!!

 

Hei igjen.

 

Angående utfordringa i det vi mailer om her og det vi diskuterte per tlf. sist, så er det veldig mange fagpersoner som både legger inn data og som tar ut data, og ikke så mange av oss har kunnskapene som trengs for å gjøre dette «riktig» sånn systemet i dag fungerer, det er komplisert, vi er alt for mange om det og uten god nok opplæring. Selv erfarne NVDB folk sliter jo til en viss grad med å huske alt. Er det noen måte vi kan diskutere oss frem til en løsning som vil serve flest mulig brukere best? Jeg prøver meg på noen tanker, antakelser, forslag og ønsker under. PS! Sitter ikke på noen fasit.

 

*+Problemstillinger+*
 * Jeg tenker at det er vanskelig å lære alle NVDB-forvaltere å legge inn data i NVDB _«helt riktig»_ sånn over natta, altså alt etter føringer gitt/nødvendigheter for å få riktige uttrekk o.l. Det kan f.eks. være at man bør splitte alle strekningsobjekter i alle kryss og eventuelt i andre unaturlige veglenkeoverganger. Jeg mener det er viktig at vi prøver å forenkle så mye som mulig for å sikre og unngå muligheter for feilkilder.
 * I tillegg har vi andre fagfolk som ønsker å legge inn data og som kan det enda dårligere. Noen av de +må+ legge inn data selv, da forvaltere ellers ikke har kapasitet til alt.
 * Så har vi jo den at det kanskje ikke er ønskelig å legge inn alle strekningsdata med splittelser også…?

 * Verktøy for mottak av data og innleggelse har ikke funksjonalitet til å splitte, sy, lukke en splittet flate igjen, osv. for å få dataene levert fra entreprenør inn i NVDB på denne måten heller.

 * Burde vi hatt en godkjent opplæring ala Matrikkelkurs for å kunne få tilgang til å føre i NVDB? Da må selvsagt føringsinstrukser være på plass først.


 * Det som også er vanskelig er å informere og få alle til å huske og forstå at data som tas ut i excellister kan bli feil dersom man tenker å summere opp i antall, lengde eller areal. Hva annet bruker folk disse listene til egentlig?
 * Antall og noen lengder kan vises riktig i kartvisninga og infoen i Vegkart, men spesielt areal, og mest sannsynlig noen lengder, vil man ikke kunne se riktig summerte tall på der. Derfor må vi ty til excel. Da er det viktig at det man ser der blir riktig for flest mulig brukere.
 * Vi som tar ut til kontraktutlysning vil nok få det riktig, for det meste, men for de som vil se ferske tall, se tall for kun et utvalg av forekomstene av et objekt e.l. vil ta ut nye lister og mest sannsynlig summere opp feil uten å vite om det, veldig uheldig.

 

*+Tenkte løsningsforslag+*
 * +Antakelse;+ I vegkart ville jeg tru at de fleste, spesielt ikke-fagpersoner, som vil ha ut en excelliste for oversikt over det filteret de har satt i kartet, kun vil se en telling av en forekomst, altså FØRSTE FOREKOMST=1. 
 * +Forslag på kort sikt;+ Kunne dere ha snudd på det, satt Standard filter i CSV-fila til FØRSTE FOREKOMST=1 sånn at det automatisk viser kun en telling. Dersom folk da ønsker å faktisk se alle tellingene av forekomsten og vegtilknytningene den har så må heller +de+ slå av filteret eller filtrere på 0 verdien etter eget ønske.
 * +Forslag på lenger sikt;+ Kan det være riktig å anta at det kun er interessant å vise hvilke vegnumre som et objekt tilstøter og ikke alle mulige veglenker? Med unntak av administrative objekter kanskje. I så fall håper jeg at det burde være mulig å ha en kolonneegenskap med tilknyttede vegnummer listet opp i, sånn at forekomster vises med kun en linje samtidig som man kan se at denne forekomsten er tilknyttet flere veier. Verdi for kolonnen Vegnummer i disse tilfellene med flere vegtilknytninger kan da være «Flere».
 * +Forslag på enda lenger sikt;+
 * Gjøre det mulig å ta ut flere typer rapporter i excel via Vegkart som sånn sett løser problemet og informerer om hva den enkelte rapporten faktisk viser.
 * Ha visning av kart og tabell der man kan filtrere og summere på ønskede verdier i tabellen samtidig som man kan markere linje i tabell og få vist hvilket det er i kartet, og visa-versa. Bør også ha funksjoner som automidtstill tabellen til forekomst merket i kartet, og zoom til 1:1000 på forekomst markert i tabell ved dobbeltklikk, f.eks.
 * Dersom man tar ut info om kun en vei, vis i tabell og rapport/CSV at forekomster er tilknyttet flere veier ala _«forslag på lenger sikt»_ over.
 * Enda bedre er om det finnes en måte å la løsningen selv «splitte» forekomster som går over flere veier til to areal/lengder ved å beregne avstand fra senterlinjene og bruke midtpunktet til å splitte og sånn sett beregne ut ny lengde/areal. Ser at denne kan være utfordrende å få til, men hva vet jeg, derfor spør jeg. Hadde vært den beste løsningen om vi skal snakke om hva som er enkelt for oss alle med tanke på registrering og uthenting av informasjon.

 

 

Andre synspunkter som forklarer noen av ønskene over er at jeg mener det bør være mulig å finne mest mulig info i en og samme løsning. Eventuelt at det er en smooth integrasjon mellom flere løsninger som gjør at man ikke må ta å gjøre samme søk, filter osv. på ny, men beholder det man gjorde der man startet sitt søk etter info. Jeg vil egentlig gå så langt som å si at jeg synes det heller ville ha vært ønskelig å fjerne muligheten for å ta ut misvisende CSV- og SOSI-filer i Vegkart dersom det er tenkt at andre løsninger kan/skal gjøre det på en mer tilrettelagt og riktig måte. Vegkart viser jo mer eller mindre alle rådataene i excel og ser veldig rotete ut for de aller fleste, i tillegg til feilkildene de har/kan ha.

 

Ring meg gjerne opp om det kan være fornuftig å snakke mer rundt dette, men noen ganger er det lurt å få det ned skriftlig også, og jeg har satt noen på kopi som du ser.

 

 

Vennlig hilsen
 
 *Raymond Krossøy Hermansen*
 Rådgiver 
 Team geodata 
 Samferdsel, miljø og mobilitet
 
 Mobil: [93 03 20 25|tel:93%2003%2020%2025]",NVDB-6938,Eksport,
Tilgang til forvaltnings grensesnitt,,,,
Fylke mangler,"h1. Supportmail fra Åsmund Holen <asmund.holen@vianova.no>

Resultatfil fra «Egendefinerte rapporter – Detaljert mengdeoversikt (V4)»  inneholder ikke fylkesinformasjon. Dvs når man tar ut rapport for flere fylker i en spørring så vet man ikke hvilket fylke data tilhører. Hadde vært greit med en egen kolonne som viser fylke😊",NVDB-6937,Rapportgenerator,
Oppdater dokumentasjon - get_posisjon/EPSG6173,"h1. POB-sak fra Ole Johs.

Hei,
 
Ser på: https://nvdbapiles-v3.atlas.vegvesen.no/dokumentasjon/openapi/#/Posisjon/get_posisjon
 
 !image-2021-03-24-13-57-04-084.png!
 
Denne peker videre til:
utviklerkonferanse-2018/epsg6173.md at master · nvdb-vegdata/utviklerkonferanse-2018 · GitHub
 
Anbefaling for NVDB: EPSG-kode 6173: EUREF1989UTM33 og høydereferanse NN1954. Det foretas ingen tids- og/eller stedsavhengig koordinattransformasjon av data med antatt dårlig nøyaktighet til/fra WGS1984 ved lesing eller skriving til NVDB. I løpet av 2018 har alle norske kommuner gått over til det nye høydereferansesystemet NN2000. NN2000 vil tas i bruk som høydereferanse for NVDB innen 2020. Da vil EPSG-koden igjen endres.
 
Er dette litt utdatert?",NVDB-6937,Les-API,
Ta med NVDB søkedato i metadata-delen av rapportene,"Når jeg som entreprenør eller driftskontrakt-ansvarlig tar ut vegnettsrapport, V2, V3, V4 eller tilstandsrapport ønsker jeg å se hvilken dato jeg brukte i søket mitt. I dag ser jeg kun ""Utskriftsdato"", som angir når jeg latet ned data. ",,Rapportgenerator,
Nøyaktighet er satt til -1 i NVDB,Hva er omfanget?,NVDB-6937,Datafangst,
